search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter
0,0,0.47976073314555095,0.016044951308107878,0.540135735756663,0.013867264609865704,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 42, 'min_samples_split': 2, 'splitter': 'best'}",entropy,20,log2,42,2,best
0,1,0.5134731566475883,0.017220949026269822,0.5881956279233463,0.005525163172973828,"{'criterion': 'entropy', 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 42, 'min_samples_split': 34, 'splitter': 'best'}",entropy,25,,42,34,best
0,2,0.4133348147169936,0.03435148792578087,0.4523677814822326,0.02946830339762319,"{'criterion': 'entropy', 'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 15, 'min_samples_split': 6, 'splitter': 'random'}",entropy,40,log2,15,6,random
0,3,0.4166587924895004,0.060626433604338795,0.41518958777049314,0.05414933531834457,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 38, 'splitter': 'random'}",entropy,6,log2,20,38,random
0,4,0.4888359068160864,0.035943902679400334,0.5529022819622973,0.01868868689143884,"{'criterion': 'entropy', 'max_depth': 28, 'max_features': 'log2', 'min_samples_leaf': 35, 'min_samples_split': 29, 'splitter': 'best'}",entropy,28,log2,35,29,best
0,5,0.49873986094269174,0.019756717166383653,0.5492151646425552,0.014314883474353373,"{'criterion': 'gini', 'max_depth': 22, 'max_features': 'log2', 'min_samples_leaf': 40, 'min_samples_split': 35, 'splitter': 'best'}",gini,22,log2,40,35,best
0,6,0.47181228968294836,0.017314398823272077,0.49881733314612087,0.00990833590448401,"{'criterion': 'entropy', 'max_depth': 31, 'max_features': None, 'min_samples_leaf': 34, 'min_samples_split': 28, 'splitter': 'random'}",entropy,31,,34,28,random
0,7,0.03946849814701785,0.015595528677020624,0.043767669983864235,0.007996466682347712,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 20, 'splitter': 'random'}",gini,3,log2,8,20,random
0,8,0.4862770655011392,0.019275526495459994,0.5497871944832647,0.013010103133036664,"{'criterion': 'entropy', 'max_depth': 16, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 31, 'splitter': 'random'}",entropy,16,,15,31,random
0,9,0.41179438980895194,0.027417234424357395,0.4892544030309022,0.029754948503964818,"{'criterion': 'entropy', 'max_depth': 31, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 35, 'splitter': 'random'}",entropy,31,log2,6,35,random
0,10,0.4921073905106404,0.01116621373665518,0.5695495231565031,0.013466158435557039,"{'criterion': 'gini', 'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 27, 'min_samples_split': 29, 'splitter': 'best'}",gini,35,sqrt,27,29,best
0,11,0.4909799640888952,0.018089248466124874,0.5411737532091809,0.013987963911603892,"{'criterion': 'gini', 'max_depth': 29, 'max_features': 'log2', 'min_samples_leaf': 37, 'min_samples_split': 8, 'splitter': 'best'}",gini,29,log2,37,8,best
0,12,0.4873567039205223,0.020803436107887513,0.4941435251205045,0.02458311020101645,"{'criterion': 'gini', 'max_depth': 26, 'max_features': None, 'min_samples_leaf': 42, 'min_samples_split': 8, 'splitter': 'random'}",gini,26,,42,8,random
0,13,0.43041386538556053,0.076066310960767,0.48976464813144743,0.09355902204332876,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 26, 'splitter': 'random'}",entropy,23,sqrt,6,26,random
